FAC_DERIVED_CB2010,CWA Violations,CAA Violations,RCRA Violations,SDWA Violations,CWA Inspections,CAA Inspections,RCRA Inspections,SDWA Inspections,Facilities,FAC_NAICS_CODES,Total Violations Since 2001,Violations Per Facility Since 2001,Total Inspections Since 2001,Inspections Per Facility Since 2001
01001020700,21.0,0.0,5.0,0.0,29.0,31.0,5.0,0.0,2,326112 323111 326111 221320,26.0,13.0,65.0,32.5
01001020801,1.0,0.0,0.0,0.0,32.0,89.0,1.0,11.0,2,221112 22111 322130 325194 32519 322121 325191 32213,1.0,0.5,133.0,66.5
01001021000,2.0,0.0,0.0,0.0,8.0,82.0,0.0,0.0,1,221112 237990,2.0,2.0,90.0,90.0
01003010300,11.0,0.0,16.0,0.0,11.0,0.0,37.0,0.0,1,325199,27.0,27.0,48.0,48.0
01003010500,51.0,0.0,12.0,0.0,37.0,18.0,39.0,0.0,2,nan 321114,63.0,31.5,94.0,47.0
01003010705,94.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1,221320,94.0,94.0,35.0,35.0
01003010903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,337122,0.0,0.0,0.0,0.0
01003011201,19.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,1,221320 22132 237990 237110,19.0,19.0,34.0,34.0
01003011401,2.0,3.0,0.0,0.0,6.0,43.0,0.0,0.0,1,562212,5.0,5.0,49.0,49.0
01003011403,49.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1,nan,49.0,49.0,29.0,29.0
01003011406,107.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1,nan,107.0,107.0,34.0,34.0
01003011502,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1,nan,15.0,15.0,28.0,28.0
01003990000,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,1,211130,0.0,0.0,41.0,41.0
01005950200,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2,321219 321219,0.0,0.0,7.0,3.5
01005950300,1.0,0.0,1.0,0.0,9.0,14.0,3.0,0.0,1,321114 321912,2.0,2.0,26.0,26.0
01005950500,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1,327999 327120,0.0,0.0,46.0,46.0
01005950600,0.0,1.0,0.0,0.0,3.0,46.0,0.0,0.0,1,212324 236210 327124,1.0,1.0,49.0,49.0
01005950700,27.0,2.0,0.0,0.0,2.0,48.0,0.0,0.0,1,321113 321999,29.0,29.0,50.0,50.0
01005950900,57.0,0.0,0.0,0.0,29.0,41.0,0.0,0.0,2,332311 nan,57.0,28.5,70.0,35.0
01007010003,1.0,4.0,9.0,0.0,9.0,48.0,12.0,0.0,1,321114 237990 321920,14.0,14.0,69.0,69.0
01007010004,96.0,1.0,0.0,0.0,30.0,12.0,0.0,0.0,2,321114 321113 221320,97.0,48.5,42.0,21.0
01009050102,17.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1,nan,17.0,17.0,31.0,31.0
01009050500,34.0,0.0,0.0,0.0,29.0,12.0,0.0,0.0,1,311615,34.0,34.0,41.0,41.0
01009050601,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,221112,0.0,0.0,2.0,2.0
01013952900,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1,326199 326191,0.0,0.0,29.0,29.0
01013953200,95.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1,nan,95.0,95.0,28.0,28.0
01013953300,2.0,4.0,0.0,0.0,7.0,52.0,1.0,0.0,1,321212 236210 321912 321113 322121 238910 32121,6.0,6.0,60.0,60.0
01015000400,34.0,6.0,28.0,0.0,10.0,109.0,36.0,0.0,2,331511 238910 33111 331111 331511 333511 332911,68.0,34.0,155.0,77.5
01015000600,4.0,0.0,36.0,0.0,17.0,63.0,104.0,0.0,3,325199 325110 nan 332813 33299,40.0,13.333333333333334,184.0,61.333333333333336
01015000700,6.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1,237990 221320,6.0,6.0,29.0,29.0
01015001000,0.0,2.0,43.0,0.0,18.0,166.0,53.0,6.0,5,331529 331525 331528 423720 331511 325998 332812 486210 48621 322220 323113 326199,45.0,9.0,243.0,48.6
01015001100,52.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1,22132 237110 236210 221320,52.0,52.0,30.0,30.0
01015001500,38.0,3.0,2.0,0.0,41.0,114.0,4.0,0.0,3,327420 322130 32213 221112 221122 321219 325211 236210,43.0,14.333333333333334,159.0,53.0
01015002101,10.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1,221320,10.0,10.0,26.0,26.0
01015002300,193.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1,221320,193.0,193.0,27.0,27.0
01015981901,132.0,4.0,134.0,0.0,22.0,45.0,225.0,0.0,1,928110 336992 92811 48811 562112 49319 332813 238910 237310 562212,270.0,270.0,292.0,292.0
01017954000,74.0,1.0,0.0,0.0,26.0,46.0,1.0,0.0,2,321113 321999 nan,75.0,37.5,73.0,36.5
01017954300,4.0,0.0,5.0,0.0,5.0,99.0,5.0,0.0,2,327993 321219,9.0,4.5,109.0,54.5
01017954400,42.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1,221320,42.0,42.0,31.0,31.0
01017954600,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1,313210,0.0,0.0,14.0,14.0
01017954700,119.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1,nan,119.0,119.0,26.0,26.0
01019955800,38.0,2.0,0.0,0.0,32.0,47.0,0.0,0.0,2,325510 32721 236210 339999 327112 nan,40.0,20.0,79.0,39.5
01019955900,3.0,0.0,0.0,0.0,3.0,37.0,0.0,0.0,1,562212 562111,3.0,3.0,40.0,40.0
01021060102,47.0,0.0,5.0,0.0,32.0,0.0,14.0,0.0,2,nan 49311,52.0,26.0,46.0,23.0
01021060401,0.0,1.0,0.0,0.0,3.0,53.0,0.0,0.0,1,321212 321213 236210,1.0,1.0,56.0,56.0
01021060500,21.0,2.0,0.0,0.0,7.0,50.0,0.0,0.0,1,321113 236210,23.0,23.0,57.0,57.0
01021060600,0.0,2.0,3.0,0.0,3.0,44.0,5.0,0.0,1,486210 48621,5.0,5.0,52.0,52.0
01023956700,8.0,4.0,0.0,0.0,29.0,48.0,0.0,0.0,1,236210 322110 237990 322121 32211 322291 238910 32212 322130 322226 322299 32213,12.0,12.0,77.0,77.0
01023956900,0.0,1.0,0.0,0.0,0.0,69.0,0.0,0.0,2,211130 486210,1.0,0.5,69.0,34.5
01023957000,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1,211111 2111,0.0,0.0,35.0,35.0
01025957500,159.0,4.0,0.0,0.0,38.0,137.0,0.0,0.0,5,nan 321211 321113 321912 321212 321219 237990 321113 32111 321113,163.0,32.6,175.0,35.0
01025957902,1.0,2.0,0.0,0.0,26.0,94.0,0.0,0.0,2,322121 322110 321113 32211 321113,3.0,1.5,120.0,60.0
01027958900,0.0,0.0,1.0,0.0,1.0,19.0,3.0,0.0,1,337122 33711 337110,1.0,1.0,23.0,23.0
01027959000,247.0,6.0,42.0,0.0,37.0,133.0,20.0,0.0,4,337215 337110 33711 337110 33711 33711 337110 111120 nan,295.0,73.75,190.0,47.5
01029959700,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1,48621 486210,0.0,0.0,46.0,46.0
01031010400,9.0,0.0,1.0,0.0,2.0,38.0,1.0,0.0,1,562212 811191,10.0,10.0,41.0,41.0
